X Y	IV BETA SE P
SDC4 bald12 5 0.077 0.034 0.022
SDK2 bald12 19 0.002 0.01 0.82
SEL1L bald12 4 0.005 0.015 0.75
SELE bald12 6 0.022 0.087 0.8
SELL bald12 12 -0.014 0.011 0.21
SELP bald12 7 0.023 0.034 0.5
SELPLG bald12 8 0.021 0.016 0.18
SEMA3F bald12 11 -0.013 0.021 0.53
SEMA4D bald12 6 -0.003 0.027 0.9
SEMA7A bald12 7 -0.05 0.05 0.31
SEPTIN8 bald12 5 0.045 0.042 0.29
SERPINA11 bald12 26 -0.005 0.007 0.5
SERPINA12 bald12 26 -0.006 0.003 0.041
SERPINA1 bald12 7 0.051 0.031 0.096
SERPINA3 bald12 11 -0.016 0.008 0.039
SERPINA4 bald12 25 -0.005 0.011 0.69
SERPINA5 bald12 10 -0.031 0.015 0.036
SERPINA6 bald12 9 0.008 0.008 0.29
SERPINA9 bald12 26 -0.001 0.007 0.91
SERPINB1 bald12 4 -0.024 0.037 0.51
SERPINB6 bald12 8 -0.032 0.023 0.16
SERPINB8 bald12 13 0.007 0.008 0.38
SERPINB9 bald12 10 0.014 0.026 0.59
SERPIND1 bald12 4 -0.075 0.053 0.16
SERPINE2 bald12 10 0.002 0.02 0.92
SERPINF1 bald12 13 0.016 0.016 0.32
SERPINF2 bald12 7 0.012 0.015 0.4
SERPING1 bald12 10 0.02 0.024 0.4
SERPINH1 bald12 7 0.028 0.059 0.64
SERPINI1 bald12 12 0.014 0.009 0.1
SERPINI2 bald12 15 -0.006 0.014 0.66
SETMAR bald12 9 0.009 0.014 0.51
SEZ6L2 bald12 6 -0.017 0.022 0.42
SEZ6L bald12 11 -0.001 0.02 0.96
SFRP1 bald12 12 -0.008 0.017 0.62
SFTPA1 bald12 7 0 0.018 0.99
SFTPA2 bald12 33 -0.009 0.01 0.38
SFTPD bald12 51 -0.002 0.006 0.78
SGSH bald12 56 0.005 0.002 0.0069
SH3BP1 bald12 7 0 0.024 0.99
SH3GLB2 bald12 5 -0.006 0.016 0.71
SHBG bald12 13 -0.019 0.007 0.005
SHMT1 bald12 55 0.014 0.003 4.1e-05
SIAE bald12 7 0.015 0.016 0.38
SIGLEC10 bald12 15 -0.012 0.008 0.15
SIGLEC1 bald12 21 0.001 0.007 0.88
SIGLEC5 bald12 66 -0.008 0.005 0.078
SIGLEC6 bald12 21 0.003 0.007 0.67
SIGLEC7 bald12 12 -0.02 0.011 0.061
SIGLEC8 bald12 23 -0.002 0.007 0.83
SIGLEC9 bald12 23 -0.016 0.002 7.6e-16
SIRPA bald12 19 0.006 0.007 0.38
SIRPB1 bald12 40 0.007 0.003 0.033
SIRT2 bald12 5 -0.019 0.031 0.54
SLA2 bald12 5 0.014 0.046 0.76
SLAMF1 bald12 6 -0.011 0.037 0.77
SLAMF6 bald12 5 -0.018 0.045 0.69
SLAMF7 bald12 30 0.001 0.007 0.86
SLAMF8 bald12 31 0.009 0.004 0.037
SLC16A1 bald12 5 -0.014 0.045 0.76
SLC39A5 bald12 5 0.02 0.037 0.58
SLITRK6 bald12 13 0.008 0.012 0.53
SLURP1 bald12 13 -0.01 0.008 0.2
SMAD3 bald12 7 -0.004 0.029 0.9
SMOC1 bald12 10 -0.018 0.015 0.23
SMOC2 bald12 22 0.005 0.012 0.71
SMPD1 bald12 10 0.004 0.007 0.57
SMPDL3A bald12 31 -0.001 0.013 0.96
SNAP25 bald12 6 0.031 0.042 0.47
SNCG bald12 65 -0.004 0.003 0.19
SNED1 bald12 8 0.007 0.02 0.71
SNX15 bald12 14 -0.021 0.01 0.032
SNX9 bald12 4 -0.001 0.074 0.99
SOD2 bald12 5 0.034 0.05 0.49
SOD3 bald12 13 -0.025 0.012 0.04
SORBS1 bald12 4 -0.17 0.085 0.045
SORCS2 bald12 25 0.001 0.012 0.95
SORD bald12 8 0.013 0.03 0.66
SORT1 bald12 6 -0.047 0.015 0.0013
SPAG1 bald12 44 0.01 0.006 0.1
SPARC bald12 4 -0.015 0.042 0.73
SPARCL1 bald12 31 -0.016 0.009 0.073
SPESP1 bald12 5 -0.007 0.021 0.72
SPINK1 bald12 13 -0.008 0.01 0.41
SPINK2 bald12 18 0 0.009 0.96
SPINK4 bald12 43 -0.001 0.01 0.94
SPINK5 bald12 17 0.015 0.014 0.31
SPINK6 bald12 11 0.01 0.015 0.5
SPINK8 bald12 9 -0.001 0.024 0.95
SPINT1 bald12 10 -0.016 0.038 0.67
SPINT2 bald12 8 -0.058 0.032 0.069
SPOCK1 bald12 5 -0.002 0.034 0.95
SPON1 bald12 11 -0.001 0.014 0.92
SPON2 bald12 7 -0.033 0.018 0.066
SPP1 bald12 9 0.011 0.03 0.7
SPRR3 bald12 9 0.002 0.006 0.75
SPRY2 bald12 4 0.155 0.044 4e-04
SPTLC1 bald12 4 -0.01 0.026 0.71
SSC4D bald12 18 0.002 0.01 0.88
SSC5D bald12 16 0.007 0.01 0.47
ST3GAL1 bald12 9 -0.001 0.011 0.9
ST6GAL1 bald12 6 0.017 0.027 0.52
STAB2 bald12 19 0.003 0.009 0.78
STAMBP bald12 4 -0.005 0.06 0.93
STAT2 bald12 4 -0.028 0.028 0.31
STC1 bald12 4 -0.049 0.049 0.32
STC2 bald12 7 -0.022 0.094 0.81
STX7 bald12 18 -0.002 0.008 0.85
SUGP1 bald12 8 -0.032 0.02 0.11
SULT1A1 bald12 10 0.055 0.027 0.043
SULT2A1 bald12 6 -0.008 0.015 0.58
SUMF2 bald12 14 0.007 0.009 0.42
SUOX bald12 5 -0.008 0.062 0.89
SUSD1 bald12 7 -0.014 0.036 0.7
SUSD2 bald12 23 0.012 0.009 0.17
SUSD4 bald12 10 -0.007 0.011 0.51
SUSD5 bald12 23 -0.009 0.01 0.4
SWAP70 bald12 7 0.025 0.074 0.74
TACC3 bald12 5 -0.022 0.021 0.3
TACSTD2 bald12 24 0.008 0.008 0.29
TAFA5 bald12 13 -0.016 0.021 0.47
TALDO1 bald12 6 0.003 0.04 0.95
TBC1D17 bald12 11 0.007 0.01 0.49
TBCA bald12 4 0.022 0.031 0.48
TCL1A bald12 8 0.016 0.026 0.53
TCN1 bald12 18 0.005 0.008 0.55
TCN2 bald12 42 -0.008 0.01 0.4
TCTN3 bald12 23 -0.011 0.006 0.074
TDGF1 bald12 58 -0.008 0.005 0.12
TDP1 bald12 4 0.036 0.037 0.34
TDRKH bald12 6 0.006 0.014 0.67
TEK bald12 19 -0.001 0.012 0.9
TEX101 bald12 6 -0.007 0.014 0.59
TF bald12 7 0.037 0.012 0.002
TFF1 bald12 7 -0.034 0.061 0.58
TFF2 bald12 8 -0.049 0.032 0.13
TFF3 bald12 10 -0.015 0.021 0.48
TFPI2 bald12 8 -0.025 0.028 0.37
TFPI bald12 15 0.001 0.013 0.92
TFRC bald12 26 0.005 0.01 0.6
TG bald12 5 -0.049 0.056 0.39
TGFB1 bald12 5 -0.006 0.02 0.76
TGFBI bald12 22 0.001 0.007 0.89
TGFBR3 bald12 9 -0.03 0.027 0.27
TGOLN2 bald12 31 0.01 0.007 0.13
THBD bald12 7 0.012 0.019 0.52
THBS2 bald12 14 -0.001 0.013 0.92
THBS4 bald12 10 0.009 0.018 0.62
THOP1 bald12 8 -0.017 0.027 0.53
THPO bald12 4 0.086 0.085 0.31
THSD1 bald12 5 -0.022 0.026 0.4
THTPA bald12 4 -0.011 0.011 0.33
THY1 bald12 11 0.006 0.009 0.54
TIMD4 bald12 9 -0.018 0.034 0.6
TIMM10 bald12 4 0.135 0.033 5.7e-05
TIMP3 bald12 27 0.036 0.016 0.028
TIMP4 bald12 9 -0.023 0.023 0.32
TINAGL1 bald12 9 0.044 0.036 0.22
TLR1 bald12 14 0.008 0.017 0.61
TLR3 bald12 58 0 0.004 0.99
TLR4 bald12 4 0.01 0.024 0.68
TMEM132A bald12 13 0.015 0.012 0.21
TMEM25 bald12 8 -0.006 0.01 0.58
TMPRSS11D bald12 7 0.004 0.03 0.89
TMPRSS5 bald12 44 -0.007 0.007 0.3
TNC bald12 11 -0.008 0.019 0.68
TNF bald12 5 -0.005 0.033 0.88
TNFRSF10A bald12 24 -0.002 0.004 0.54
TNFRSF10B bald12 13 -0.005 0.012 0.66
TNFRSF10C bald12 13 -0.008 0.018 0.67
TNFRSF11A bald12 17 0 0.01 0.96
TNFRSF11B bald12 11 0.025 0.029 0.38
TNFRSF12A bald12 5 0.004 0.102 0.97
TNFRSF13B bald12 6 -0.016 0.021 0.45
TNFRSF13C bald12 16 -0.004 0.012 0.76
TNFRSF17 bald12 4 0.014 0.035 0.69
TNFRSF19 bald12 14 0.015 0.014 0.28
TNFRSF1B bald12 7 -0.059 0.025 0.018
TNFRSF21 bald12 9 0.007 0.016 0.63
TNFRSF4 bald12 7 0.033 0.023 0.16
TNFRSF6B bald12 34 -0.015 0.019 0.41
TNFRSF8 bald12 9 -0.026 0.016 0.097
TNFSF10 bald12 8 0.021 0.025 0.4
TNFSF12 bald12 12 -0.015 0.022 0.49
TNFSF13 bald12 13 0.018 0.024 0.46
TNFSF13B bald12 10 -0.001 0.018 0.94
TNFSF14 bald12 8 0.01 0.031 0.74
TNFSF8 bald12 6 -0.002 0.018 0.92
TNN bald12 58 -0.004 0.008 0.59
TNR bald12 11 0.01 0.013 0.43
TNXB bald12 25 0.008 0.008 0.31
TOR1AIP1 bald12 21 -0.002 0.007 0.82
TP53I3 bald12 15 -0.007 0.011 0.53
TPK1 bald12 18 0.013 0.011 0.24
TPMT bald12 11 -0.002 0.011 0.85
TPP1 bald12 11 -0.004 0.013 0.76
TPSAB1 bald12 72 0.002 0.005 0.74
TPSD1 bald12 18 0.003 0.007 0.72
TREH bald12 72 0.002 0.006 0.72
TREM2 bald12 6 0.016 0.013 0.21
TREML2 bald12 12 -0.029 0.014 0.038
TRIM21 bald12 4 -0.052 0.077 0.5
TRIM40 bald12 11 0.048 0.033 0.14
TRIM58 bald12 5 0.002 0.057 0.97
TRIM5 bald12 6 -0.017 0.025 0.5
TSPAN8 bald12 16 0.013 0.014 0.35
TST bald12 4 -0.049 0.043 0.26
TTF2 bald12 6 -0.005 0.026 0.86
TTR bald12 6 0.006 0.023 0.79
TXN bald12 4 0.019 0.042 0.65
TXNDC15 bald12 32 -0.003 0.007 0.68
TXNDC5 bald12 4 -0.043 0.027 0.11
TYMP bald12 4 0.048 0.032 0.13
TYRO3 bald12 41 -0.01 0.007 0.15
UBAC1 bald12 5 0.044 0.051 0.39
UBE2L6 bald12 5 -0.074 0.012 3.8e-10
ULBP2 bald12 24 0.002 0.007 0.72
UMOD bald12 38 0 0.005 0.93
UPB1 bald12 4 -0.128 0.047 0.0061
UROD bald12 10 -0.016 0.01 0.13
UXS1 bald12 4 -0.061 0.051 0.24
VAMP5 bald12 4 0.013 0.094 0.89
VASH1 bald12 4 0.016 0.039 0.68
VASN bald12 7 -0.016 0.01 0.12
VAT1 bald12 5 0.04 0.033 0.23
VAV3 bald12 4 0.099 0.075 0.19
VCAN bald12 15 0.005 0.007 0.48
VEGFA bald12 20 -0.002 0.023 0.91
VEGFB bald12 7 0.033 0.03 0.27
VEGFC bald12 5 -0.027 0.034 0.43
VIT bald12 31 -0.003 0.005 0.63
VMO1 bald12 28 0.002 0.003 0.5
VNN1 bald12 55 0.001 0.006 0.87
VNN2 bald12 32 0.008 0.011 0.47
VSIG10 bald12 14 -0.004 0.006 0.52
VSIG10L bald12 4 0.012 0.023 0.6
VSIG2 bald12 5 0.002 0.016 0.92
VSIR bald12 7 0.01 0.013 0.43
VSTM1 bald12 41 0.003 0.001 0.045
VSTM2L bald12 6 0.001 0.032 0.98
VTCN1 bald12 5 0.235 0.149 0.11
VWA1 bald12 16 -0.007 0.014 0.64
VWC2 bald12 16 -0.012 0.012 0.35
VWC2L bald12 8 0.034 0.062 0.58
VWF bald12 6 -0.049 0.034 0.15
WARS bald12 6 0.036 0.046 0.43
WFDC12 bald12 19 0.011 0.009 0.24
WFDC1 bald12 5 -0.023 0.017 0.18
WFDC2 bald12 5 0.025 0.134 0.85
WFIKKN1 bald12 10 0.002 0.012 0.89
WFIKKN2 bald12 24 0.001 0.011 0.91
WIF1 bald12 9 0.014 0.029 0.64
WNT9A bald12 8 -0.035 0.022 0.12
WWP2 bald12 4 -0.035 0.028 0.22
XCL1 bald12 33 -0.006 0.008 0.44
ZBP1 bald12 7 -0.011 0.013 0.38
ZBTB16 bald12 6 -0.015 0.021 0.48
ZFYVE19 bald12 9 0.011 0.016 0.51
ZP3 bald12 88 -0.001 0.001 0.62
A1BG bald13 8 -0.01 0.01 0.33
AAMDC bald13 23 0.025 0.005 2.8e-06
ABHD14B bald13 5 -0.007 0.018 0.69
ABO bald13 29 -0.004 0.005 0.43
ACAA1 bald13 3 0.042 0.048 0.38
ACADSB bald13 4 -0.04 0.024 0.1
ACAN bald13 6 -0.026 0.048 0.58
ACE bald13 9 0.003 0.01 0.8
ACHE bald13 16 0.001 0.019 0.96
ACOT13 bald13 3 -0.038 0.04 0.35
ACP1 bald13 9 -0.038 0.009 3e-05
ACP5 bald13 13 0.021 0.008 0.0059
ACP6 bald13 52 0.001 0.005 0.78
ACRBP bald13 4 -0.025 0.026 0.33
ACVRL1 bald13 8 0.005 0.013 0.71
ACY1 bald13 5 0.013 0.019 0.47
ACY3 bald13 10 0.01 0.021 0.63
ACYP1 bald13 6 -0.03 0.03 0.31
ADA2 bald13 16 0 0.018 0.99
ADA bald13 36 -0.001 0.007 0.86
ADAM12 bald13 7 0.035 0.025 0.16
ADAM15 bald13 38 -0.002 0.004 0.63
ADAM22 bald13 30 -0.002 0.006 0.73
ADAM23 bald13 43 -0.008 0.003 0.017
ADAM8 bald13 28 0.002 0.009 0.79
ADAM9 bald13 8 -0.043 0.026 0.089
ADAMTS13 bald13 19 -0.001 0.011 0.93
ADAMTS15 bald13 3 0.044 0.04 0.26
ADAMTS16 bald13 11 -0.003 0.031 0.91
ADAMTS8 bald13 13 -0.009 0.014 0.52
ADAMTSL2 bald13 6 -0.104 0.054 0.056
ADAMTSL4 bald13 10 -0.009 0.018 0.59
ADAMTSL5 bald13 15 -0.008 0.005 0.12
ADGRB3 bald13 104 -0.007 0.006 0.25
ADGRD1 bald13 28 -0.008 0.01 0.41
ADGRE1 bald13 14 -0.01 0.01 0.35
ADGRE5 bald13 11 -0.029 0.018 0.11
ADGRG1 bald13 8 0.018 0.032 0.57
ADH1B bald13 7 0.008 0.028 0.77
ADIPOQ bald13 10 -0.019 0.015 0.22
ADM bald13 4 0.049 0.027 0.067
AFAP1 bald13 57 0.01 0.006 0.074
AFM bald13 6 0.024 0.027 0.38
AFP bald13 7 -0.006 0.017 0.74
AGER bald13 6 -0.007 0.052 0.9
AGRN bald13 30 -0.003 0.01 0.73
AGRP bald13 4 -0.028 0.129 0.83
AGT bald13 13 -0.001 0.008 0.93
AGXT bald13 7 -0.003 0.017 0.86
AHCY bald13 7 -0.019 0.012 0.12
AHNAK2 bald13 12 -0.025 0.019 0.19
AHNAK bald13 3 0 0.027 0.99
AHSG bald13 21 -0.006 0.011 0.58
AIF1 bald13 5 0.017 0.027 0.53
AIF1L bald13 7 -0.015 0.053 0.78
AKR1B1 bald13 3 -0.025 0.032 0.43
AKR7L bald13 9 0.013 0.02 0.5
ALCAM bald13 7 0.011 0.022 0.62
ALDH1A1 bald13 4 0.057 0.081 0.48
ALDH3A1 bald13 14 0.014 0.012 0.26
ALDH5A1 bald13 5 -0.004 0.033 0.91
ALPP bald13 23 0.003 0.007 0.69
AMBP bald13 4 -0.051 0.018 0.0048
AMIGO2 bald13 7 0.007 0.031 0.83
AMN bald13 35 0.001 0.008 0.88
AMPD3 bald13 10 0.003 0.013 0.81
AMY2A bald13 36 0.002 0.01 0.84
AMY2B bald13 30 0.008 0.01 0.4
ANG bald13 13 0.008 0.008 0.27
ANGPT1 bald13 3 -0.034 0.097 0.73
ANGPT2 bald13 6 -0.021 0.028 0.46
ANGPTL1 bald13 17 0.016 0.013 0.21
ANGPTL3 bald13 7 0.008 0.024 0.75
ANGPTL4 bald13 10 -0.02 0.008 0.011
ANGPTL7 bald13 9 -0.012 0.011 0.28
ANPEP bald13 21 0.009 0.01 0.37
ANXA2 bald13 14 0.015 0.014 0.27
ANXA3 bald13 4 0.01 0.044 0.82
ANXA5 bald13 3 0.054 0.04 0.18
AOC1 bald13 5 -0.014 0.015 0.34
AOC3 bald13 18 -0.002 0.009 0.82
AP1G2 bald13 6 -0.008 0.02 0.67
APBB1IP bald13 4 -0.064 0.093 0.49
APCS bald13 6 0.026 0.02 0.19
APEX1 bald13 5 0.015 0.012 0.2
APOA1 bald13 4 0.161 0.084 0.055
APOA4 bald13 4 0.037 0.072 0.61
APOBR bald13 79 0.005 0.004 0.18
APOC1 bald13 6 0.026 0.032 0.43
APOD bald13 12 -0.024 0.021 0.26
APOE bald13 35 0.007 0.01 0.49
APOF bald13 4 -0.028 0.035 0.42
APOH bald13 22 0.012 0.011 0.29
APOL1 bald13 6 -0.012 0.021 0.56
APOM bald13 7 0.01 0.015 0.52
APPL2 bald13 3 0.067 0.03 0.025
APRT bald13 6 -0.042 0.041 0.31
AREG bald13 4 0.059 0.053 0.27
ARG1 bald13 6 0.005 0.022 0.83
ARHGEF10 bald13 20 0.01 0.013 0.43
ARHGEF5 bald13 16 -0.015 0.007 0.036
ARL2BP bald13 3 -0.014 0.016 0.39
ARSA bald13 23 0.001 0.014 0.92
ARSB bald13 12 -0.018 0.024 0.46
ART3 bald13 13 -0.013 0.021 0.52
ART5 bald13 3 0.023 0.022 0.3
ASAH1 bald13 13 0.004 0.029 0.89
ASAH2 bald13 28 0.003 0.006 0.63
ASGR1 bald13 3 0.004 0.027 0.87
ASGR2 bald13 9 0.021 0.014 0.15
ASPN bald13 9 0.019 0.02 0.34
ASPSCR1 bald13 4 -0.019 0.041 0.64
ASRGL1 bald13 8 -0.018 0.012 0.15
ATRAID bald13 8 -0.034 0.014 0.02
ATRN bald13 29 0.002 0.009 0.79
ATXN3 bald13 6 -0.003 0.017 0.87
AXL bald13 9 0.002 0.034 0.96
AZU1 bald13 7 0.023 0.021 0.29
B3GNT7 bald13 24 0.013 0.012 0.29
B4GALT1 bald13 7 -0.001 0.017 0.97
B4GAT1 bald13 7 0.025 0.015 0.1
BAIAP2 bald13 3 -0.087 0.057 0.13
BANK1 bald13 5 0.377 0.335 0.26
BCAM bald13 8 0.003 0.018 0.87
BCAN bald13 4 -0.019 0.02 0.34
BCAT1 bald13 19 -0.008 0.011 0.49
BCHE bald13 37 0.001 0.009 0.88
BCL2L15 bald13 4 -0.005 0.028 0.86
BLMH bald13 24 -0.004 0.008 0.65
BLNK bald13 3 -0.038 0.061 0.53
BLVRB bald13 4 -0.01 0.017 0.54
BMP10 bald13 9 0.012 0.008 0.15
BMP6 bald13 6 0.057 0.042 0.18
BMPER bald13 11 0.034 0.027 0.21
BOC bald13 11 0.034 0.017 0.039
BPIFA2 bald13 6 0.019 0.027 0.47
BPIFB1 bald13 22 0 0.011 0.97
BPIFB2 bald13 11 -0.017 0.011 0.11
BRSK2 bald13 19 -0.004 0.012 0.73
BSG bald13 4 0.009 0.027 0.75
BST1 bald13 55 -0.004 0.003 0.11
BST2 bald13 7 0.067 0.03 0.027
BTC bald13 12 -0.005 0.009 0.57
BTD bald13 29 0.012 0.008 0.14
BTN1A1 bald13 6 -0.034 0.022 0.12
BTN2A1 bald13 14 0.009 0.015 0.56
BTN3A2 bald13 21 -0.011 0.007 0.11
C19orf12 bald13 4 -0.078 0.057 0.17
C1QA bald13 11 -0.015 0.014 0.27
C1QL2 bald13 9 0.005 0.028 0.86
C1QTNF1 bald13 6 0.007 0.023 0.75
C1QTNF9 bald13 53 0.019 0.003 4.2e-11
C1R bald13 7 0.006 0.024 0.81
C1RL bald13 12 0.001 0.018 0.94
C1S bald13 6 0.006 0.01 0.57
C2 bald13 17 0.006 0.012 0.58
C4BPB bald13 7 0.005 0.019 0.8
C5 bald13 4 -0.008 0.033 0.82
C7 bald13 34 0.005 0.008 0.55
C7orf50 bald13 13 0.003 0.016 0.83
C8B bald13 17 -0.001 0.007 0.9
C9 bald13 8 -0.025 0.026 0.33
CA12 bald13 11 -0.01 0.013 0.45
CA13 bald13 5 -0.035 0.018 0.056
CA14 bald13 10 0.027 0.017 0.12
CA1 bald13 3 0.036 0.049 0.46
CA2 bald13 4 -0.049 0.055 0.37
CA3 bald13 8 0.002 0.034 0.94
CA4 bald13 9 -0.025 0.017 0.13
CA5A bald13 25 0.004 0.008 0.63
CA6 bald13 30 0.001 0.007 0.91
CA9 bald13 5 0.01 0.027 0.71
CACNB3 bald13 3 0.018 0.044 0.69
CALCA bald13 5 0.004 0.028 0.9
CALCB bald13 7 -0.014 0.038 0.72
CAMKK1 bald13 4 -0.02 0.033 0.55
CANT1 bald13 6 -0.008 0.024 0.73
CAPG bald13 37 -0.002 0.007 0.79
CAPS bald13 8 0.003 0.029 0.9
CARHSP1 bald13 3 0.053 0.05 0.29
CASP10 bald13 5 0.021 0.033 0.52
CASP3 bald13 3 -0.024 0.037 0.51
CASP7 bald13 4 -0.036 0.028 0.21
CASP8 bald13 4 0.016 0.019 0.39
CAT bald13 6 0.02 0.016 0.21
CBLN4 bald13 12 -0.001 0.034 0.97
CBS bald13 3 -0.019 0.038 0.62
CC2D1A bald13 4 -0.024 0.044 0.58
CCER2 bald13 3 -0.044 0.032 0.17
CCL11 bald13 4 0.051 0.039 0.19
CCL13 bald13 12 0.026 0.018 0.14
CCL14 bald13 12 -0.002 0.013 0.87
CCL15 bald13 24 0.01 0.005 0.054
CCL16 bald13 31 0.011 0.01 0.31
CCL17 bald13 7 -0.025 0.017 0.13
CCL18 bald13 13 -0.001 0.01 0.94
CCL21 bald13 3 0.004 0.042 0.93
CCL22 bald13 6 -0.015 0.025 0.56
CCL23 bald13 17 -0.008 0.008 0.33
CCL24 bald13 60 0.001 0.004 0.84
CCL25 bald13 33 -0.007 0.005 0.12
CCL26 bald13 7 0.001 0.022 0.97
CCL27 bald13 3 -0.024 0.017 0.16
CCL3 bald13 18 -0.016 0.019 0.39
CCL4 bald13 15 0.015 0.01 0.15
CCL5 bald13 3 -0.011 0.026 0.67
CCL7 bald13 4 -0.053 0.032 0.1
CCL8 bald13 46 0.006 0.006 0.34
CCN2 bald13 6 -0.021 0.025 0.4
CCN3 bald13 8 0.01 0.011 0.34
CCN4 bald13 23 -0.005 0.005 0.3
CCN5 bald13 12 -0.004 0.011 0.74
CCS bald13 13 0.007 0.007 0.29
CD101 bald13 36 -0.002 0.005 0.73
CD109 bald13 55 0.001 0.007 0.88
CD14 bald13 6 -0.011 0.015 0.49
CD160 bald13 13 0.007 0.015 0.66
CD163 bald13 6 -0.045 0.044 0.3
CD164L2 bald13 8 -0.019 0.036 0.61
CD177 bald13 85 -0.003 0.005 0.56
CD1C bald13 11 0.001 0.017 0.94
CD200 bald13 9 -0.026 0.032 0.43
CD200R1 bald13 32 -0.009 0.007 0.19
CD207 bald13 20 -0.016 0.013 0.23
CD209 bald13 17 0.01 0.013 0.48
CD226 bald13 5 0.139 0.105 0.19
CD22 bald13 5 0.023 0.043 0.59
CD244 bald13 16 0.019 0.012 0.11
CD274 bald13 14 -0.006 0.014 0.64
CD276 bald13 29 -0.002 0.016 0.89
CD27 bald13 13 0.015 0.046 0.75
CD2AP bald13 5 0.07 0.04 0.081
CD300A bald13 10 0.038 0.016 0.022
CD300C bald13 17 0.023 0.02 0.25
CD300E bald13 15 0.017 0.01 0.073
CD300LF bald13 45 -0.002 0.005 0.63
CD300LG bald13 10 -0.025 0.01 0.015
CD302 bald13 10 0.01 0.03 0.72
CD33 bald13 79 -0.01 0.004 0.015
CD34 bald13 4 0.013 0.052 0.8
CD36 bald13 8 -0.013 0.018 0.48
CD38 bald13 12 0.005 0.018 0.77
CD40 bald13 8 0.007 0.016 0.67
CD46 bald13 3 0.025 0.047 0.59
CD48 bald13 15 -0.019 0.007 0.0078
CD4 bald13 5 0.011 0.015 0.45
CD55 bald13 9 0.01 0.014 0.45
CD58 bald13 7 0.005 0.024 0.82
CD59 bald13 5 -0.008 0.017 0.63
CD5 bald13 11 -0.015 0.023 0.51
CD5L bald13 7 -0.021 0.018 0.25
CD6 bald13 12 0.002 0.014 0.91
CD70 bald13 40 -0.002 0.008 0.85
CD72 bald13 5 -0.01 0.068 0.89
CD7 bald13 15 0.007 0.01 0.48
CD80 bald13 14 0.003 0.014 0.82
CD83 bald13 5 -0.028 0.038 0.46
CD86 bald13 12 -0.002 0.019 0.93
CD8A bald13 9 0.041 0.019 0.035
CDA bald13 22 0.005 0.023 0.83
CDC37 bald13 5 0.189 0.149 0.2
CDCP1 bald13 13 -0.014 0.015 0.35
CDH15 bald13 24 0.01 0.013 0.45
CDH17 bald13 13 0.013 0.015 0.4
CDH2 bald13 3 0.01 0.033 0.77
CDH3 bald13 3 0.035 0.03 0.25
CDH6 bald13 21 -0.014 0.015 0.36
CDHR1 bald13 11 -0.007 0.018 0.71
CDHR2 bald13 4 -0.009 0.038 0.82
CDHR5 bald13 40 -0.007 0.007 0.35
CDNF bald13 6 0.015 0.017 0.39
CDON bald13 9 -0.014 0.029 0.63
CDSN bald13 44 0.012 0.004 0.00061
CEACAM16 bald13 17 0.003 0.011 0.76
CEACAM19 bald13 5 0.058 0.081 0.48
CEACAM1 bald13 9 0.013 0.026 0.61
CEACAM20 bald13 7 0.037 0.029 0.2
CEACAM21 bald13 27 -0.007 0.005 0.19
CEACAM5 bald13 11 0.009 0.011 0.39
CELA2A bald13 4 0.003 0.026 0.92
CELA3A bald13 12 -0.003 0.022 0.89
CELSR2 bald13 13 0.01 0.019 0.58
CEMIP2 bald13 9 0.029 0.028 0.3
CENPF bald13 3 0.033 0.049 0.5
CEP112 bald13 9 -0.063 0.026 0.018
CEP20 bald13 3 -0.003 0.042 0.95
CEP43 bald13 3 0.062 0.103 0.54
CES1 bald13 18 -0.012 0.008 0.16
CES3 bald13 7 0.015 0.014 0.29
CFB bald13 16 0.007 0.009 0.4
CFD bald13 11 -0.018 0.019 0.35
CFH bald13 21 0.012 0.01 0.26
CFHR2 bald13 80 0 0.005 0.93
CFHR4 bald13 101 0 0.004 0.98
CFHR5 bald13 24 -0.003 0.008 0.72
CFI bald13 7 0 0.017 1
CGREF1 bald13 30 0.001 0.008 0.91
CHAC2 bald13 7 -0.03 0.026 0.26
CHAD bald13 4 -0.026 0.017 0.13
CHCHD10 bald13 3 0.151 0.056 0.0073
CHCHD6 bald13 6 0.015 0.019 0.43
CHGA bald13 4 -0.005 0.044 0.91
CHGB bald13 11 -0.009 0.008 0.23
CHI3L1 bald13 17 0.005 0.014 0.71
CHIT1 bald13 44 0.01 0.005 0.052
CHL1 bald13 32 -0.018 0.01 0.089
CHMP1A bald13 3 0.144 0.047 0.002
CHRDL2 bald13 8 -0.009 0.015 0.56
CILP bald13 3 0.027 0.024 0.25
CIT bald13 4 0.049 0.056 0.38
CKAP4 bald13 9 0.005 0.018 0.78
CLEC10A bald13 27 -0.007 0.016 0.64
CLEC11A bald13 8 0.01 0.013 0.46
CLEC12A bald13 11 0.005 0.013 0.73
CLEC14A bald13 3 0.051 0.051 0.32
CLEC1A bald13 10 -0.01 0.021 0.65
CLEC1B bald13 3 0.025 0.03 0.41
CLEC3B bald13 5 0.047 0.05 0.34
CLEC4A bald13 7 -0.015 0.01 0.13
CLEC4C bald13 42 -0.004 0.013 0.76
CLEC4D bald13 23 0.014 0.008 0.06
CLEC4G bald13 9 -0.023 0.02 0.26
CLEC4M bald13 16 0.004 0.014 0.79
CLEC5A bald13 7 -0.009 0.023 0.69
CLEC6A bald13 22 -0.001 0.011 0.95
CLEC7A bald13 40 0.002 0.005 0.66
