Index,Name,ICD-10 Chapter,ICD-10 Chapter (short),Colour,"AUC Female, (no gap)","AUC Male, (no gap)","AUC Female, (1 year gap)","AUC Male, (1 year gap)","N tokens, training","N tokens, validation"
633,K02 Dental caries,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.687016129775016,0.684717072870506,0.659905558159014,0.659017314446169,4787,1209
634,K03 Other diseases of hard tissues of teeth,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.690141542728106,0.737028459818288,0.707112269450928,0.726520775141824,144,39
635,K04 Diseases of pulp and periapical tissues,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.694090152812875,0.69206229371426,0.670919518978319,0.660850505837015,6683,1569
636,K05 Gingivitis and periodontal diseases,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.670625758316565,0.724902489161627,0.660256923087918,0.679020909098866,1672,434
637,K06 Other disorders of gingiva and edentulous alveolar ridge,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.636255059631864,0.688880398630773,0.609552623048009,0.659589745399719,616,182
638,K07 Dentofacial anomalies [including malocclusion],XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.800696794744994,0.695482819434101,0.782016616286349,0.698582862279994,2138,520
639,K08 Other disorders of teeth and supporting structures,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.65820983102166,0.667659838033729,0.618929404135878,0.646547190516709,3951,973
640,"K09 Cysts of oral region, not elsewhere classified",XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.665937424537537,0.608204243576941,0.630242457714408,0.56044626175546,749,176
641,K10 Other diseases of jaws,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.776365308989682,0.803512574148311,0.735231592145491,0.790098561932108,1551,352
642,K11 Diseases of salivary glands,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.694959636864172,0.677830193236755,0.638077626794063,0.652063353554473,2834,695
643,K12 Stomatitis and related lesions,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.811359564001814,0.811180261234158,0.745967754212691,0.738930748743535,3358,882
644,K13 Other diseases of lip and oral mucosa,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.684826591651504,0.675668710392143,0.672589841159813,0.649052972441461,6075,1532
645,K14 Diseases of tongue,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.693770479871692,0.708215072584608,0.694587756199815,0.6758703626485,3097,759
646,K20 Oesophagitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.697701494949173,0.714894549322525,0.64862715952095,0.642476328358387,13663,3403
647,K21 Gastro-oesophageal reflux disease,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.686485382470347,0.675200055472022,0.661282907818744,0.640918013535828,57617,14507
648,K22 Other diseases of oesophagus,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.722187504047025,0.696287054720048,0.669909289010989,0.641102615793867,16763,4230
649,K23 Disorders of oesophagus in diseases classified elsewhere,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.71686419707197,0.720796865066198,0.43540645233503,0.691628272754783,82,10
650,K25 Gastric ulcer,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.680924987915812,0.706095779880503,0.634118199302633,0.635891247335432,9665,2449
651,K26 Duodenal ulcer,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.698981191451997,0.690691057791995,0.643202667479061,0.618462107726316,7596,1861
652,"K27 Peptic ulcer, site unspecified",XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.734191383710501,0.756133477716396,0.696598197838138,0.717069657909913,1451,393
653,K28 Gastrojejunal ulcer,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.82013015039631,0.885185752484547,0.759885126532896,0.849024912335693,91,40
654,K29 Gastritis and duodenitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.711650516831173,0.713241124107445,0.667387261451692,0.654185799947279,46396,11438
655,K30 Dyspepsia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.653917033043673,0.66819680552788,0.63732008511417,0.638340788781672,15532,3917
656,K31 Other diseases of stomach and duodenum,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.759086968392757,0.778172225962118,0.718437408527506,0.724475067719138,14089,3600
657,K35 Acute appendicitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.599907322051628,0.600300915645427,0.599599344441881,0.581747180362436,3931,1017
658,K36 Other appendicitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.489876174284667,0.82738175019025,0.312852826884729,0.601782342473869,143,41
659,K37 Unspecified appendicitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.719551540994943,0.606986609557901,0.619341726944341,0.498802094711614,4876,1241
660,K38 Other diseases of appendix,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.729164309810664,0.760084593299786,0.657639009407662,0.525394871801162,439,104
661,K40 Inguinal hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.613928910598852,0.590507962381666,0.587090340891111,0.580327058429407,24093,6092
662,K41 Femoral hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.634477700339232,0.670407450429798,0.58961060237919,0.654926532424714,1138,313
663,K42 Umbilical hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.722260537007554,0.660996580680063,0.700151780438969,0.635313509368461,6667,1619
664,K43 Ventral hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.781998041771624,0.800672525282216,0.741595725118076,0.754338306947312,5728,1448
665,K44 Diaphragmatic hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.669122730935009,0.679961333036326,0.636257424280938,0.624576852380145,43113,10930
666,K45 Other abdominal hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.782562948809026,0.783255616194851,0.760046229646826,0.703090486692402,213,54
667,K46 Unspecified abdominal hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.767971912719146,0.741641951268789,0.726144157445688,0.722543504920021,1762,413
668,K50 Crohn's disease [regional enteritis],XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.79343135732075,0.835009332666091,0.697094977912758,0.749466629341558,2562,648
669,K51 Ulcerative colitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.752637103735145,0.747177037895744,0.67015212879812,0.671127938954011,4929,1251
670,K52 Other non-infective gastro-enteritis and colitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.688200474044766,0.718816975797657,0.643193595482333,0.662231154387946,22544,5602
671,K55 Vascular disorders of intestine,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.741960606830183,0.815572347922932,0.663607185141801,0.739021969029517,2225,494
672,K56 Paralytic ileus and intestinal obstruction without hernia,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.781897741098916,0.779797823910726,0.689969263773653,0.693479495891462,7211,1798
673,K57 Diverticular disease of intestine,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.67074463242825,0.673065421430672,0.633960217546025,0.63750357708733,49459,12447
674,K58 Irritable bowel syndrome,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.707712913442328,0.712996192485473,0.679693023874263,0.677638536490036,27270,6814
675,K59 Other functional intestinal disorders,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.736836893357895,0.756909363989107,0.684908687467788,0.691613605357107,25441,6265
676,K60 Fissure and fistula of anal and rectal regions,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.759219693517015,0.732981208629855,0.690651281143439,0.66661557924998,5449,1355
677,K61 Abscess of anal and rectal regions,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.708042536651368,0.686564483887821,0.664178525518233,0.623257072504921,2477,705
678,K62 Other diseases of anus and rectum,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.69207096188915,0.710488386135903,0.643671715913468,0.661406086976402,36308,9104
679,K63 Other diseases of intestine,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.733554704602853,0.740288753305121,0.682691919935026,0.678881250624403,26482,6562
680,K64 Haemorrhoids and perianal venous thrombosis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.748250444448514,0.729034167135274,0.717264507148412,0.704387874360844,35004,8597
681,K65 Peritonitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.787772433026571,0.81701382029457,0.61386186241228,0.694359954542427,2733,707
682,K66 Other disorders of peritoneum,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.816512487143517,0.845419025035797,0.713909024486087,0.723842937071063,6074,1561
683,K67 Disorders of peritoneum in infectious diseases classified elsewhere,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,,,,,8,1
684,K70 Alcoholic liver disease,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.833044534356126,0.847475548469101,0.841636371634129,0.802023627677595,1605,412
685,K71 Toxic liver disease,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.916361406490048,0.832449083497443,0.808598254004476,0.620836103041892,151,28
686,"K72 Hepatic failure, not elsewhere classified",XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.894190762691406,0.895981588408413,0.771741991984524,0.809734996258038,831,217
687,"K73 Chronic hepatitis, not elsewhere classified",XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.844970461246303,0.924373767237739,0.769987231921816,0.808196792349262,270,51
688,K74 Fibrosis and cirrhosis of liver,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.754069841166519,0.889708778934647,0.717273053214436,0.823856684090455,1940,474
689,K75 Other inflammatory liver diseases,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.786058704617275,0.826566313022725,0.711212676741945,0.730857171826014,2042,479
690,K76 Other diseases of liver,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.790764083848982,0.787033281055082,0.750009769626737,0.718162689347106,10203,2457
691,K77 Liver disorders in diseases classified elsewhere,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.970106201852234,0.989652845831638,0.510606846473029,0.980383736245669,37,5
692,K80 Cholelithiasis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.663643391777842,0.684921795242784,0.620563125311422,0.623614762406321,25340,6358
693,K81 Cholecystitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.763618286061139,0.798481787227868,0.630853788684956,0.64318896695505,4864,1189
694,K82 Other diseases of gallbladder,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.803781210870413,0.772132818342678,0.664573916632475,0.606024624274641,3164,801
695,K83 Other diseases of biliary tract,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.782562266344962,0.80623894622765,0.687483375477994,0.690223583897136,3783,967
696,K85 Acute pancreatitis,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.697581670897643,0.723507803929769,0.612970047876672,0.656620021214798,3405,874
697,K86 Other diseases of pancreas,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.831267861125913,0.83867387460287,0.729006703980049,0.734502194342815,2343,618
698,"K87 Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,,,,,5,1
699,K90 Intestinal malabsorption,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.710313907405455,0.750259547879952,0.644248195814006,0.698975966027761,3833,922
700,"K91 Postprocedural disorders of digestive system, not elsewhere classified",XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.870685814523706,0.899586341837886,0.732732564389176,0.761031113981154,2547,656
701,K92 Other diseases of digestive system,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.721038162252907,0.728644473582018,0.690584937061836,0.672276717018167,17547,4439
702,K93 Disorders of other digestive organs in diseases classified elsewhere,XI. Diseases of the digestive system,XI. Digestive Diseases,#8c564b,0.747289850332135,0.662715560804131,0.681223709120622,0.376339318946766,20,7
703,L00 Staphylococcal scalded skin syndrome,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.656936849131884,,0.639723335898483,,7,3
704,L01 Impetigo,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.874515582171946,0.857245983769898,0.853562880146849,0.815361695768145,1160,322
705,"L02 Cutaneous abscess, furuncle and carbuncle",XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.767877829830758,0.759151248884365,0.756581932330556,0.712106957853706,10128,2532
706,L03 Cellulitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.759280461770646,0.734203171075097,0.721960860144876,0.696845599996973,25550,6213
707,L04 Acute lymphadenitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.723463824939278,0.627165370416688,0.695015003625265,0.572780069119142,622,156
708,L05 Pilonidal cyst,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.807394539311155,0.745373654129618,0.783690326758194,0.754439457883428,1251,354
709,L08 Other local infections of skin and subcutaneous tissue,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.817619295463716,0.798097761199163,0.794197080829349,0.760289697425922,12213,3082
710,L10 Pemphigus,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.799319199025365,0.771688345130142,0.680672003992182,0.796929006636051,72,19
711,L11 Other acantholytic disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.631752167747276,0.546172537257742,0.584104427189634,0.597915132296785,98,15
712,L12 Pemphigoid,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.692744566641313,0.685349275095563,0.657273109205269,0.61332713166714,168,53
713,L13 Other bullous disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.777681763294912,0.813348061835729,0.708606106077729,0.838116307517705,110,32
714,L14 Bullous disorders in diseases classified elsewhere,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,,,,,1,0
715,L20 Atopic dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.827592617207571,0.848212444470258,0.813648516936447,0.823995139292124,11121,2730
716,L21 Seborrhoeic dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.853101631583302,0.823900256801524,0.833232111444375,0.808471800480924,8024,2012
717,L22 Diaper [napkin] dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.910527657405047,0.927417993779556,0.804638364779874,0.658485868281551,48,4
718,L23 Allergic contact dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.768625321045184,0.759591054056752,0.753134842995123,0.728894156431476,735,196
719,L24 Irritant contact dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.789876964620737,0.812002794978857,0.806360287769651,0.77526365564613,654,158
720,L25 Unspecified contact dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.85475238628268,0.734379035287165,0.827582569194531,0.72113417076543,2624,599
721,L26 Exfoliative dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.679534656436395,0.550179946832066,0.593343879148847,0.415989751389282,16,5
722,L27 Dermatitis due to substances taken internally,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.780197562129268,0.729892267105405,0.659206255423246,0.617836627223035,990,256
723,L28 Lichen simplex chronicus and prurigo,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.690948289068964,0.752446905193233,0.675541966652996,0.690701863919141,1379,314
724,L29 Pruritus,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.801752965965549,0.824192910814381,0.750855131951154,0.808802129459578,10118,2577
725,L30 Other dermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.765842823502429,0.740703977659404,0.733237654919773,0.723957588658147,38424,9719
726,L40 Psoriasis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.658500469035205,0.623566115734379,0.63135651476463,0.60683553609338,11829,3042
727,L41 Parapsoriasis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.703064025940293,0.752444441070894,0.726635419912765,0.61253279081596,103,22
728,L42 Pityriasis rosea,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.810478583122997,0.756677260404406,0.765579454971803,0.773777015823839,1304,339
729,L43 Lichen planus,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.7378744527125,0.705933679477227,0.705681190054684,0.657005883408794,2069,467
730,L44 Other papulosquamous disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.682059346365309,0.70982987188347,0.395112870676023,0.564051053297329,65,8
731,L50 Urticaria,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.794534488580151,0.787890226272989,0.763989850988016,0.784285446230003,8858,2248
732,L51 Erythema multiforme,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.678385967192969,0.733706978623055,0.530652897220178,0.718046879250491,284,52
733,L52 Erythema nodosum,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.768254734396334,0.774517149304267,0.778717599439711,0.807425054380722,234,77
734,L53 Other erythematous conditions,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.757622649250891,0.780325001625564,0.703139150442911,0.694509149249489,1267,253
735,L54 Erythema in diseases classified elsewhere,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,,,,,2,0
736,L55 Sunburn,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.836515636153857,0.859961302865602,0.829785002052565,0.85079366067698,324,87
737,L56 Other acute skin changes due to ultraviolet radiation,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.763471591179396,0.803585279461211,0.71253928950947,0.771085696760782,510,140
738,L57 Skin changes due to chronic exposure to nonionising radiation,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.761627502908753,0.774306658240761,0.738716263506138,0.742884080518067,16289,4043
739,L58 Radiodermatitis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.504410999818497,0.823527186302155,0.579428531088403,0.18971406785182,21,5
740,L59 Other disorders of skin and subcutaneous tissue related to radiation,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.924674549604725,0.576256100895926,0.885595591399286,0.518579651332205,67,10
741,L60 Nail disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.8120561586613,0.805466990362437,0.770021531869118,0.760850707720043,9128,2285
742,L62 Nail disorders in diseases classified elsewhere,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,,,,,1,0
743,L63 Alopecia areata,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.755559072625463,0.806022649686052,0.695543922832117,0.770552122066503,729,199
744,L64 Androgenic alopecia,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.825118365651542,0.940662329441614,0.799052140192516,0.93175614233343,133,28
745,L65 Other nonscarring hair loss,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.837659676302651,0.846824792080593,0.822973715928728,0.809680038692716,2680,709
746,L66 Cicatricial alopecia [scarring hair loss],XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.760197305106344,0.524537868381593,0.769095568553908,0.535267654583941,185,44
747,L67 Hair colour and hair shaft abnormalities,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.782186910811872,,0.8112568256643,,29,14
748,L68 Hypertrichosis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.808501675987934,,0.823201464913905,,430,108
749,L70 Acne,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.74895891275506,0.759264900045702,0.780978582637438,0.736569168585327,4622,1201
750,L71 Rosacea,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.780297190517073,0.72682444019316,0.765641703286029,0.700584607230391,4779,1175
751,L72 Follicular cysts of skin and subcutaneous tissue,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.6201561794616,0.628135903980851,0.606347244032343,0.61494454723304,12753,3088
752,L73 Other follicular disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.809452026964396,0.825320603016671,0.814201605551553,0.810247086713301,3035,809
753,L74 Eccrine sweat disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.713383109052227,0.815615392729947,0.789682772653377,0.820513249298912,906,225
754,L75 Apocrine sweat disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.556038316238458,0.109208793435316,0.409302242000828,0.0324700699847241,12,8
755,L80 Vitiligo,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.698439620847664,0.668096369695819,0.678301987818531,0.629013516278454,940,234
756,L81 Other disorders of pigmentation,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.753708301473439,0.763118474451146,0.729537143805914,0.711807529839305,3783,971
757,L82 Seborrhoeic keratosis,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.772552446727934,0.780111610186361,0.750916571232433,0.756868068609584,24614,6375
758,L83 Acanthosis nigricans,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.649889644013047,0.711000532086912,0.401076521215433,0.667254170018125,160,41
759,L84 Corns and callosities,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.788909319029114,0.814533980396857,0.744085835225948,0.785314294246223,3086,788
760,L85 Other epidermal thickening,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.730613959064799,0.742344946500672,0.713009734323318,0.715055556582406,3017,782
761,L86 Keratoderma in diseases classified elsewhere,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,,,,,0,1
762,L87 Transepidermal elimination disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,,,,,18,1
763,L88 Pyoderma gangrenosum,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.866014495753747,0.936577606725075,0.877099877538315,0.681965863895984,67,16
764,L89 Decubitus ulcer,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.89482787749246,0.890049496085443,0.832286439789134,0.799935804556898,3328,825
765,L90 Atrophic disorders of skin,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.703031056969719,0.72722684063793,0.662283010109419,0.663428070167867,4940,1191
766,L91 Hypertrophic disorders of skin,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.775839941571885,0.778846823045462,0.755144290679328,0.754773820294115,4165,1058
767,L92 Granulomatous disorders of skin and subcutaneous tissue,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.675333081822058,0.689976528263667,0.585641812475756,0.624883463802567,1547,370
768,L93 Lupus erythematosus,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.733381820635684,0.831159032526055,0.713996882475786,0.641169137967777,402,94
769,L94 Other localised connective tissue disorders,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.706049006061992,0.66972409775732,0.632255197620153,0.64782290767595,509,115
770,"L95 Vasculitis limited to skin, not elsewhere classified",XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.82044819332406,0.75640873625375,0.778850156280705,0.747955487158515,253,67
771,"L97 Ulcer of lower limb, not elsewhere classified",XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.865459613752099,0.879412477099008,0.825386751148426,0.837312442656528,2563,652
772,"L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified",XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.787867767943566,0.762969065396423,0.758478296937312,0.74307504779669,37959,9447
773,L99 Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,XII. Diseases of the skin and subcutaneous tissue,XII. Skin Diseases,#c49c94,0.997052868124534,,0.757674103151941,,19,4
774,M00 Pyogenic arthritis,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.774672381908112,0.705393353551276,0.742301482090255,0.618319865903607,707,170
775,M01 Direct infections of joint in infectious and parasitic diseases classified elsewhere,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.750438159202941,0.782201662364021,0.738374957856791,0.750942274682848,31,7
776,M02 Reactive arthropathies,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.799418290828731,0.626070312391832,0.710922057037339,0.49095281234683,209,52
777,M03 Postinfective and reactive arthropathies in diseases classified elsewhere,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.723334266517357,,0.390459729362406,,9,2
778,M05 Seropositive rheumatoid arthritis,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.902579650351746,0.931718838754952,0.876248434315668,0.85446947356248,988,278
779,M06 Other rheumatoid arthritis,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.673940284434234,0.707041732116661,0.654349375252003,0.665571380684434,9452,2369
780,M07 Psoriatic and enteropathic arthropathies,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.855388966611281,0.872578950132578,0.82643343853096,0.89218788669984,1102,269
781,M08 Juvenile arthritis,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.690667703305584,0.544640736342043,0.593015680654111,0.564406318082789,78,17
782,M09 Juvenile arthritis in diseases classified elsewhere,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,,,,,2,0
783,M10 Gout,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.74419684845556,0.654737642016422,0.715342764345536,0.64854569240892,15060,3813
784,M11 Other crystal arthropathies,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.695997148111066,0.719471643182254,0.665425138632894,0.672776953648117,858,220
785,M12 Other specific arthropathies,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.721269373668989,0.764093427896389,0.690358458369306,0.735856757563623,556,175
786,M13 Other arthritis,XIII. Diseases of the musculoskeletal system and connective tissue,XIII. Musculoskeletal Diseases,#1f77b4,0.714686568546379,0.720399176381703,0.689244653363302,0.701092796298402,31928,8051
